,District,Neighbourhoods,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Variation
0,Ciutat Vella,el Raval,12124,11760,12153,13314,12368,11313,12742,14989,15485,15590,0.2858792477730122
1,Ciutat Vella,el Barri Gòtic,15649,17887,18093,20237,18855,19436,19045,21456,22936,23232,0.4845677040066458
2,Ciutat Vella,la Barceloneta,12763,12215,14231,14973,13049,15403,16338,15148,17602,17429,0.36558802789312855
3,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,15842,16844,17877,17636,16888,17110,17885,19063,20300,21765,0.37387956066153266
4,Eixample,el Fort Pienc,20974,20694,21268,20053,18534,18573,20205,20724,21795,23319,0.11180509201868981
5,Eixample,la Sagrada Família,19503,18665,19073,19684,18023,18292,17866,18944,19906,22290,0.1429010921396708
6,Eixample,la Dreta de l'Eixample,26726,27238,28246,31073,28387,31087,31961,32787,35287,38515,0.44110603906308465
7,Eixample,l'Antiga Esquerra de l'Eixample,23783,23255,24679,24846,22543,23470,24710,25490,28894,30041,0.26312912584619264
8,Eixample,la Nova Esquerra de l'Eixample,22582,21680,22582,22060,20028,20374,21094,20526,21857,24129,0.0685058896466212
9,Eixample,Sant Antoni,19929,18873,18700,19643,17929,19230,18910,19498,21587,22816,0.1448642681519394
10,,el Poble Sec - AEI Parc de Montjuïc,13712,13031,13055,14953,15262,13320,12819,14693,15796,17999,0.3126458576429405
11,Sants-Montjuïc,la Marina del Prat Vermell - AEI Zona Franca,14951,14074,12134,10856,8681,11088,7618,7297,10316,8758,-0.41421978462979064
12,Sants-Montjuïc,la Marina de Port,14990,14340,14584,14502,12747,13302,13921,13922,14177,15174,0.012274849899933288
13,Sants-Montjuïc,la Font de la Guatlla,17760,16540,16152,15280,13182,14596,15004,16453,17623,18152,0.022072072072072072
14,Sants-Montjuïc,Hostafrancs,15978,15497,15270,15588,13636,14483,14849,16255,17560,21677,0.3566779321567155
15,Sants-Montjuïc,la Bordeta,15649,14681,14388,14563,13787,13395,14695,14693,15277,17298,0.10537414531279954
16,Sants-Montjuïc,Sants - Badal,16365,15440,15388,15792,14052,14371,15391,15227,15464,17736,0.08377635197066911
17,Sants-Montjuïc,Sants,16869,16180,16544,17697,16113,15497,16589,17442,19159,21677,0.28501985891279863
18,Les Corts,les Corts,25506,24450,25816,25993,24510,23414,24246,24620,24888,26275,0.030149768681878773
19,Les Corts,la Maternitat i Sant Ramon,25138,24298,24561,22654,20671,22269,21771,21733,23725,25005,-0.005290794812634259
20,Les Corts,Pedralbes,37708,37614,40851,50388,45521,45758,48666,49536,50315,54477,0.4447066935398324
21,Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,32072,32663,31736,33981,33569,33357,31477,29999,27150,31552,-0.01621351958094288
22,Sarrià-Sant Gervasi,Sarrià,33389,33403,34852,37013,35895,36790,37742,39372,38733,42391,0.2696097517146366
23,Sarrià-Sant Gervasi,les Tres Torres,41581,42223,44261,44325,40661,42025,42112,42338,43797,47252,0.13638440633943388
24,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,34376,34996,37146,39061,35536,35571,37085,37355,38919,40420,0.1758203397719339
25,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,36236,37007,39420,36398,33285,36697,37143,40559,41161,42062,0.1607793354674909
26,Sarrià-Sant Gervasi,el Putxet i el Farró,28876,28016,29501,28267,26136,26678,27108,27883,29184,31662,0.09648150713395207
27,Gràcia,Vallcarca i els Penitents,21672,21225,20562,23433,21503,19493,19644,21990,23435,24633,0.13662790697674418
28,Gràcia,el Coll,17469,17014,17446,19930,17569,15590,15777,17600,17519,19050,0.09050317705650009
29,Gràcia,la Salut,21497,20884,21895,22490,22203,21294,20746,22623,24161,24064,0.11941201097827604
30,Gràcia,la Vila de Gràcia,19503,18740,20151,21794,19404,20543,22835,21021,21068,22859,0.17207609085781675
31,Gràcia,el Camp d'en Grassot i Gràcia Nova,19871,19290,19602,20114,18647,18949,20050,20368,22438,23144,0.1647123949474108
32,Horta-Guinardó,el Baix Guinardó,18670,17602,18602,18414,16132,15684,16744,17877,19096,20144,0.07895018746652384
33,Horta-Guinardó,Can Baró,16210,15535,14760,15239,15394,13921,14965,17422,19927,18239,0.12516964836520666
34,Horta-Guinardó,el Guinardó,17856,16654,16172,17574,16983,16210,15855,16354,16626,17320,-0.030017921146953404
35,Horta-Guinardó,la Font d'en Fargues,20858,20429,20464,19869,20330,20374,19722,18826,19678,20254,-0.02895771406654521
36,Horta-Guinardó,el Carmel,13421,12310,12898,12781,11064,10206,10944,11252,11313,11868,-0.11571417927129125
37,Horta-Guinardó,la Teixonera,14177,13866,13623,14133,13484,12945,13457,14732,15734,16137,0.13825209846935177
38,Horta-Guinardó,Sant Genís dels Agudells,16811,15269,15956,16632,15054,14033,15468,18490,17913,18415,0.09541371720897032
39,Horta-Guinardó,Montbau,17159,15174,16113,14563,14449,13414,13535,14297,17062,17473,0.018299434698991784
40,Horta-Guinardó,la Vall d'Hebron,18980,18589,18230,18250,17078,16453,16802,18312,18162,20976,0.10516332982086407
41,Horta-Guinardó,la Clota,17527,17944,15956,16284,14846,15966,17421,17659,18972,20473,0.1680835282706681
42,Horta-Guinardó,Horta,16946,15573,15329,16018,15130,15590,15893,15998,16730,17473,0.031098784373893545
43,Nou Barris,Vilapicina i la Torre Llobeta,15823,15193,15760,14809,13560,13339,12374,12854,13222,13970,-0.1171080073311003
44,Nou Barris,Porta,14370,13316,13859,13089,11442,11500,11272,12142,12973,14101,-0.01871955462769659
45,Nou Barris,el Turó de la Peira,12589,10964,10585,12003,10666,9681,9784,9650,10731,11364,-0.09730717292874731
46,Nou Barris,Can Peguera,10226,8213,7527,10795,10042,9962,9861,10105,10690,11276,0.10267944455309994
47,Nou Barris,la Guineueta,15881,14586,14015,12064,10610,10225,10828,11054,11292,11780,-0.2582331087463006
48,Nou Barris,Canyelles,14603,13448,14780,14379,11555,10694,11794,10995,11292,11430,-0.21728411970143122
49,Nou Barris,les Roquetes,11678,10432,10448,11020,9986,9456,9822,9452,11831,10882,-0.06816235656790547
50,Nou Barris,Verdun,11988,10850,10781,10917,9361,10431,9822,10955,11167,11233,-0.06297964631297964
51,Nou Barris,la Prosperitat,14041,12652,12055,12556,11347,10562,10383,10679,11437,12262,-0.12670037746599244
52,Nou Barris,la Trinitat Nova,10168,9769,8978,8255,7357,7223,6709,7040,8427,10554,0.03796223446105429
53,Nou Barris,Torre Baró,12027,12443,11154,11163,9910,8386,8817,9314,9361,10182,-0.153404839111998
54,Nou Barris,Ciutat Meridiana,11388,10224,9742,8173,7092,8105,7579,6822,7120,8452,-0.257815244116614
55,Nou Barris,Vallbona,11543,11608,9448,10897,9948,7823,7715,7475,10773,8955,-0.22420514597591615
56,Sant Andreu,la Trinitat Vella,14796,13259,11389,10119,9872,10037,8875,8523,10150,10313,-0.3029872938632063
57,Sant Andreu,Baró de Viver,9664,8403,7723,10405,9910,11613,11698,11905,15070,15086,0.5610513245033113
58,Sant Andreu,el Bon Pastor,12550,10831,10154,12904,12728,13470,11524,11470,12869,14254,0.13577689243027888
59,Sant Andreu,Sant Andreu,16288,15573,15407,15977,14676,14877,14811,14950,15983,17013,0.044511296660117876
60,Sant Andreu,la Sagrera,16520,15402,15760,15710,13787,13939,14482,15187,16170,16882,0.02191283292978208
61,Sant Andreu,el Congrés i els Indians,16191,14909,14898,14932,13673,13827,14057,13862,14883,16444,0.015625965042307455
62,Sant Andreu,Navas,17624,16483,15956,15321,14562,14146,16106,16967,17498,17867,0.013788016341352701
63,Sant Martí,el Camp de l'Arpa del Clot,17895,16919,16583,16858,15357,14352,15642,15563,17166,17889,-0.00033528918692372173
64,Sant Martí,el Clot,17237,16218,16230,16386,14789,14427,15661,16749,17374,18305,0.06195973777339444
65,Sant Martí,el Parc i la Llacuna del Poblenou,20568,19556,19073,18619,16813,17579,17131,19142,19117,21984,0.06884480746791131
66,Sant Martí,la Vila Olímpica del Poblenou,25816,26764,26443,29905,27725,28442,29157,29702,33626,35953,0.3926634645181283
67,Sant Martí,el Poblenou,18128,16407,16917,18271,16983,16810,18446,18905,20466,21874,0.20664165931156223
68,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,20219,20466,20935,25051,24094,28160,32637,32134,31675,32866,0.6255007666056679
69,Sant Martí,el Besòs i el Maresme,11833,10186,10507,10836,9910,9943,11388,10758,11354,13225,0.11763711653849404
70,Sant Martí,Provençals del Poblenou,16481,15630,15113,17267,15205,14277,17730,20329,20487,22400,0.35914082883320186
71,Sant Martí,Sant Martí de Provençals,15552,14529,14682,13314,12009,12420,13070,13506,14260,14758,-0.051054526748971193
72,Sant Martí,la Verneda i la Pau,14390,12860,13408,12658,10742,10525,11060,11371,12205,12481,-0.1326615705350938
