,Neighbourhoods,2013,2014,2015,2016,2017,2018,2019,Variation
1,el Raval,571.82,577.85,625.82,667.0,748.58,821.84,850.11,0.4866741282221677
2,el Barri Gòtic,715.56,749.99,786.04,868.95,973.27,1024.78,1097.29,0.5334702890044162
3,la Barceloneta,559.55,563.08,602.62,667.34,745.81,899.37,895.9,0.6011080332409974
4,Sant Pere - Santa Caterina i la Ribera,659.16,685.14,723.45,807.26,916.65,972.07,996.35,0.5115449966624189
5,el Fort Pienc,718.31,723.33,768.12,823.45,900.42,950.32,1012.41,0.4094332530523034
6,la Sagrada Família,664.3,680.68,713.15,775.99,876.25,909.59,960.21,0.44544633448743054
7,la Dreta de l'Eixample,913.81,945.88,1012.51,1138.08,1195.23,1254.59,1307.62,0.4309539182105689
8,l'Antiga Esquerra de l'Eixample,817.95,843.86,911.14,979.2,1060.03,1113.08,1162.32,0.4210159545204473
9,la Nova Esquerra de l'Eixample,730.1,732.13,783.84,870.48,943.23,987.65,1053.83,0.44340501301191604
10,Sant Antoni,710.35,711.37,765.61,842.47,900.48,934.34,994.91,0.40059125783064675
11,el Poble Sec - AEI Parc Montjuïc,581.32,582.6,612.15,669.53,749.52,801.81,837.05,0.4399126126746024
12,la Marina del Prat Vermell - AEI Zona Franca,378.53999999999996,378.53999999999996,404.71,356.56,378.53999999999996,378.53999999999996,374.35,-0.01106884345115428
13,la Marina de Port,561.0,527.28,542.27,544.38,691.42,751.06,766.25,0.3658645276292335
14,la Font de la Guatlla,662.89,644.64,695.2,737.15,811.08,839.71,865.92,0.3062800766341323
15,Hostafrancs,579.79,593.91,624.65,687.85,747.09,796.27,830.56,0.4325186705531313
16,la Bordeta,618.56,611.37,638.46,678.86,789.98,801.44,851.22,0.37613166063114345
17,Sants - Badal,599.04,597.28,626.57,691.17,759.18,784.54,851.58,0.4215745192307694
18,Sants,617.91,624.12,653.3,711.32,787.23,826.18,877.79,0.42057904872877927
19,les Corts,787.89,782.88,856.34,939.1,1002.47,1039.61,1097.24,0.39263095102108164
20,la Maternitat i Sant Ramon,718.04,760.26,756.62,847.88,925.16,973.55,1009.21,0.4055066570107516
