,Neighbourhoods,Monthly_rent,Household_income,Rent_income_ratio
0,el Raval,748.58,15590.0,0.5762001282873637
1,el Barri Gòtic,973.27,23232.0,0.5027221074380165
2,la Barceloneta,745.81,17429.0,0.5134958976418612
3,Sant Pere - Santa Caterina i la Ribera,916.65,21765.0,0.5053893866299104
4,el Fort Pienc,900.42,23319.0,0.46335777692010804
5,la Sagrada Família,876.25,22290.0,0.4717362045760431
6,la Dreta de l'Eixample,1195.23,38515.0,0.37239413215630274
7,l'Antiga Esquerra de l'Eixample,1060.03,30041.0,0.42343330781265603
8,la Nova Esquerra de l'Eixample,943.23,24129.0,0.46909362178291686
9,Sant Antoni,900.48,22816.0,0.4736044880785414
10,el Poble Sec - AEI Parc Montjuïc,749.52,17999.0,0.4997077615423079
11,la Marina del Prat Vermell - AEI Zona Franca,286.905,8758.0,0.3931102991550582
12,la Marina de Port,691.42,15174.0,0.546793198892843
13,la Font de la Guatlla,811.08,18152.0,0.5361921551344204
14,Hostafrancs,747.09,21677.0,0.41357567929141487
15,la Bordeta,789.98,17298.0,0.5480263614290669
16,Sants - Badal,759.18,17736.0,0.5136535859269282
17,Sants,787.23,21677.0,0.43579646630068736
18,les Corts,1002.47,26275.0,0.4578359657469077
19,la Maternitat i Sant Ramon,925.16,25005.0,0.4439880023995201
20,Pedralbes,1785.63,54477.0,0.3933322319510987
21,Vallvidrera - el Tibidabo i les Planes,1220.0,31552.0,0.46399594320486814
22,Sarrià,1353.86,42391.0,0.38324927461017666
23,les Tres Torres,1634.12,47252.0,0.4149970371624481
24,Sant Gervasi - la Bonanova,1236.68,40420.0,0.36714893617021277
25,Sant Gervasi - Galvany,1311.47,42062.0,0.37415339261090774
26,el Putxet i el Farró,930.19,31662.0,0.3525450066325564
27,Vallcarca i els Penitents,910.93,24633.0,0.4437608086712946
28,el Coll,724.94,19050.0,0.45665511811023624
29,la Salut,799.97,24064.0,0.398921210106383
30,la Vila de Gràcia,860.63,22859.0,0.4517940417341091
31,el Camp d'en Grassot i Gràcia Nova,864.07,23144.0,0.44801417213964745
32,el Baix Guinardó,770.94,20144.0,0.45925734710087374
33,Can Baró,686.96,18239.0,0.45197214759581117
34,el Guinardó,736.91,17320.0,0.5105612009237875
35,la Font d'en Fargues,817.1,20254.0,0.484111780389059
36,el Carmel,603.34,11868.0,0.6100505561172902
37,la Teixonera,648.9,16137.0,0.4825432236475181
38,Sant Genís dels Agudells,674.67,18415.0,0.4396437686668477
39,Montbau,724.77,17473.0,0.4977531047902478
40,la Vall d'Hebron,828.96,20976.0,0.474233409610984
41,la Clota,651.25,20473.0,0.38172226835344114
42,Horta,698.37,17473.0,0.47962227436616495
43,Vilapicina i la Torre Llobeta,714.83,13970.0,0.6140272011453114
44,Porta,662.04,14101.0,0.5633983405432239
45,el Turó de la Peira,615.5,11364.0,0.6499472016895459
46,Can Peguera,417.84,11276.0,0.4446683221000355
47,la Guineueta,650.05,11780.0,0.6621901528013582
48,Canyelles,680.56,11430.0,0.7144986876640419
49,les Roquetes,533.39,10882.0,0.5881896710163572
50,Verdun,591.66,11233.0,0.6320591115463366
51,la Prosperitat,628.11,12262.0,0.6146892839667265
52,la Trinitat Nova,541.48,10554.0,0.6156679931779421
53,Torre Baró,425.64,10182.0,0.5016381850324101
54,Ciutat Meridiana,435.36,8452.0,0.6181164221486039
55,Vallbona,476.43,8955.0,0.6384321608040201
56,la Trinitat Vella,497.6,10313.0,0.5789973819451179
57,Baró de Viver,458.37,15086.0,0.3646055945910115
58,el Bon Pastor,627.45,14254.0,0.5282306720920444
59,Sant Andreu,733.94,17013.0,0.5176794216187621
60,la Sagrera,667.56,16882.0,0.4745124985191328
61,el Congrés i els Indians,730.84,16444.0,0.5333300900024326
62,Navas,777.64,17867.0,0.5222857782504058
63,el Camp de l'Arpa del Clot,778.14,17889.0,0.5219788696964615
64,el Clot,767.51,18305.0,0.5031477738322863
65,el Parc i la Llacuna del Poblenou,893.67,21984.0,0.48781113537117904
66,la Vila Olímpica del Poblenou,1259.7,35953.0,0.42044891942257945
67,el Poblenou,900.22,21874.0,0.49385754777361257
68,Diagonal Mar i el Front Marítim del Poblenou,1092.06,32866.0,0.3987318201180551
69,el Besòs i el Maresme,613.03,13225.0,0.5562465028355388
70,Provençals del Poblenou,932.02,22400.0,0.49929642857142853
71,Sant Martí de Provençals,765.22,14758.0,0.6222143921940643
72,la Verneda i la Pau,688.63,12481.0,0.662091178591459
