Codi,Districtes municipals,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
,Barcelona,978.81,929.72,877.28,801.28,734.94,688.23,681.56,720.13,752.86,761.87,792.89,813.02,766.18,695.75,636.02,584.78,550.59,519.81,466.34,408.27
1,Ciutat Vella,945.53,914.04,828.79,739.23,675.74,639.11,618.67,644.15,663.02,678.79,715.68,729.59,660.96,597.60,539.29,469.86,443.15,412.05,350.92,325.19
2,Eixample,1093.70,1038.38,990.73,917.27,831.44,776.91,763.53,800.45,821.81,833.46,862.85,891.64,831.10,750.73,703.06,635.36,595.48,564.66,515.19,436.38
3,Sants-Montjuïc,841.49,803.74,763.17,678.78,624.52,598.43,596.42,633.08,671.60,671.91,698.86,725.94,668.85,620.93,558.73,498.79,453.74,437.04,381.93,336.56
4,Les Corts,1156.95,1089.53,1052.30,985.94,925.45,853.00,826.71,867.36,891.45,908.94,933.72,990.58,955.43,829.15,742.43,705.08,667.71,621.48,627.00,567.73
5,Sarrià-Sant Gervasi,1316.57,1268.92,1227.89,1144.71,1051.23,978.02,935.47,984.44,1017.11,998.61,1029.30,1081.91,1014.24,917.66,863.57,823.76,762.15,742.94,659.92,631.19
6,Gràcia,957.73,904.53,856.42,787.86,721.65,673.86,659.25,706.60,737.05,738.73,762.28,792.07,741.59,668.71,620.95,548.96,507.39,495.73,425.72,370.86
7,Horta-Guinardó,794.88,746.16,706.63,640.15,586.85,563.76,566.51,605.92,636.73,652.11,689.68,718.36,660.29,630.00,552.09,501.24,463.88,421.21,390.50,334.52
8,Nou Barris,704.52,674.59,625.51,561.07,518.80,499.31,513.82,551.69,609.43,621.46,653.28,676.51,632.13,582.13,513.48,472.72,438.43,426.97,369.37,330.99
9,Sant Andreu,796.31,762.71,705.66,644.91,611.00,575.16,578.50,626.83,658.37,672.73,707.23,723.90,675.82,601.72,569.40,508.35,462.25,431.44,385.04,339.49
10,Sant Martí,941.71,884.51,842.33,771.41,700.56,640.81,637.39,673.60,705.39,727.50,738.26,770.16,730.62,682.06,605.93,531.91,484.76,467.71,398.12,341.65
